COD PRODUTO UNIDADE-DE-MEDIDA PREÇO QUANTIDADE
1 Feijão Pacote R$ 6.20 54
2 Arroz Pacote R$ 3.40 54
3 Fubá Pacote R$ 2.90 33
4 Milho-Verde Lata R$ 1.30 4
5 Ervilha Lata R$ 1.30 4
6 Farinha Pacote R$ 2.80 56
7 Tomate Quilo R$ 2.25 95
8 Laranja Quilo R$ 3.50 3
9 Limão Quilo R$ 3.50 49
10 Macaxeira Quilo R$ 4.50 6
11 Pimentão Quilo R$ 3.30 3
12 Queijo Quilo R$ 28.00 6
13 Presunto Quilo R$ 14.00 8
14 Carne Quilo R$ 24.92 4
15 Salsicha Quilo R$ 8.49 12
16 Peixe Quilo R$ 12.45 5
17 Margarina Lata R$ 2.99 8
